epoch,runtime,test-acc
1,68.13829803466797,39.07585144042969
2,137.9618682861328,44.17807388305664
3,205.3994598388672,48.92892074584961
4,277.134033203125,52.17282485961914
5,349.8977355957031,54.80979537963867
6,407.7633056640625,57.18960189819336
7,473.626953125,58.82742691040039
8,535.5972290039062,59.82278060913086
9,609.5173950195312,61.45561599731445
10,674.8167114257812,62.62467575073242
11,776.0399169921875,64.03663635253906
12,844.2828979492188,64.99520111083984
13,925.9069213867188,65.2652816772461
14,1001.6044311523438,66.05626678466797
15,1041.85400390625,66.24817657470703
16,1104.5238037109375,66.59909057617188
17,1180.5733642578125,67.36390686035156
18,1231.713134765625,67.34030151367188
19,1324.310546875,67.68922424316406
20,1384.3619384765625,67.7131576538086
21,1494.11767578125,67.92877960205078
22,1509.0191650390625,68.20946502685547
23,1595.273193359375,68.74909973144531
24,1679.74462890625,69.02821350097656
25,1758.7919921875,69.21344757080078
26,1811.094970703125,69.60832214355469
27,1860.901611328125,69.70320892333984
28,1976.6802978515625,69.96265411376953
29,2016.810546875,70.07355499267578
30,2104.9013671875,70.39370727539062
31,2155.865478515625,70.63146209716797
32,2189.71240234375,70.67255401611328
33,2239.011962890625,71.1352310180664
34,2277.504150390625,71.3597183227539
35,2307.815673828125,71.41645812988281
36,2402.57861328125,71.58050537109375
37,2481.361083984375,71.96891784667969
38,2552.421875,72.2547607421875
39,2684.750732421875,72.31413269042969
40,2758.771240234375,72.59999084472656
41,2810.222900390625,72.67768096923828
42,2905.727294921875,72.68913269042969
43,2956.522705078125,72.87517547607422
44,3058.646484375,72.99738311767578
45,3066.6279296875,73.05091094970703
46,3126.154052734375,73.0487289428711
47,3203.416259765625,73.02989959716797
48,3292.162353515625,73.12269592285156
49,3375.125244140625,73.18988800048828
50,3444.97900390625,73.1071548461914
51,3482.974853515625,73.14154815673828
52,3556.10791015625,73.19547271728516
53,3665.78466796875,73.29580688476562
54,3778.08349609375,73.41004943847656
55,3876.8642578125,73.49110412597656
56,3944.962646484375,73.66337585449219
57,4001.114501953125,73.8032455444336
58,3990.642578125,73.96228790283203
59,4033.01611328125,73.9960708618164
60,4117.978515625,73.94544982910156
61,4209.74560546875,74.0417251586914
62,4319.01708984375,74.04924774169922
63,4350.662109375,74.30732727050781
64,4355.29736328125,74.31861114501953
65,4355.29736328125,74.71134185791016
66,4514.45068359375,74.72575378417969
67,4635.66064453125,74.8955307006836
68,4681.54345703125,74.92219543457031
69,4681.54345703125,74.97177124023438
70,4812.38330078125,75.22373962402344
71,4899.40234375,75.19671630859375
72,4930.62744140625,75.193359375
73,5022.25439453125,75.18408966064453
74,5065.54833984375,75.25836181640625
75,5115.71435546875,75.31726837158203
76,5236.6103515625,75.31991577148438
77,5331.3310546875,75.33460998535156
78,5326.38134765625,75.41632080078125
79,5502.2275390625,75.4322280883789
80,5502.2275390625,75.43510437011719
81,5532.3466796875,75.64423370361328
82,5625.18212890625,75.70545959472656
83,5659.6845703125,75.79854583740234
84,5720.48779296875,75.51243591308594
85,5735.615234375,75.54231262207031
86,5809.55126953125,75.56757354736328
87,5803.1201171875,75.65837097167969
88,5958.87548828125,75.7746810913086
89,6109.58349609375,76.16741180419922
90,6197.0361328125,76.23346710205078
91,6196.3203125,76.20716857910156
92,6396.14453125,76.23098754882812
93,6400.578125,76.26952362060547
94,6527.517578125,76.46939849853516
95,6501.0166015625,76.47669982910156
96,6654.71728515625,76.5553970336914
97,6756.1650390625,76.58792877197266
98,6756.1650390625,76.63024139404297
99,6756.1650390625,76.5887680053711
100,6910.69970703125,76.58769989013672
101,6960.587890625,76.62669372558594
102,6960.587890625,76.66393280029297
103,6960.587890625,76.53572845458984
104,7176.33544921875,76.62841796875
105,7301.384765625,76.68437194824219
106,7321.396484375,76.76565551757812
107,7450.5703125,76.67816925048828
108,7451.787109375,76.4731216430664
109,7568.30126953125,76.43792724609375
110,7610.95849609375,76.47349548339844
111,7680.35693359375,76.58545684814453
112,7684.20556640625,76.6941909790039
113,7832.40234375,76.68304443359375
114,7832.40234375,76.7470703125
115,7895.2021484375,76.7708969116211
116,7897.01416015625,76.75525665283203
117,7899.451171875,76.76079559326172
118,8013.40380859375,76.7614517211914
119,8013.40380859375,76.88782501220703
120,8146.32177734375,76.88691711425781
121,8184.81005859375,76.88485717773438
122,8300.2412109375,76.90235900878906
123,8332.361328125,76.89681243896484
124,8588.1005859375,77.14746856689453
125,8589.169921875,77.17745971679688
126,8615.458984375,77.2074203491211
127,8615.458984375,77.23064422607422
128,8707.24609375,77.29165649414062
129,8707.24609375,77.2430648803711
130,8697.98046875,77.2265396118164
131,8697.98046875,77.23143768310547
132,8691.65625,77.26663208007812
133,8803.99609375,77.37366485595703
134,8803.99609375,77.42762756347656
135,8979.806640625,77.3859634399414
136,9130.0654296875,77.52537536621094
137,9311.3662109375,77.53132629394531
138,9336.873046875,77.75591278076172
139,9336.873046875,77.88715362548828
140,9638.1083984375,77.88648223876953
141,9659.388671875,77.88124084472656
142,9659.388671875,78.08773040771484
